jasc_code,code_name,code_desc
1100,PLACARDS AND MARKINGS,"For reports on all placards, decals, and markings installed by the manufacturer including those required by government regulations.  The report should include the system or component involved.  The aircraft make and model is required.  The location of the item is essential for a meaningful report.  Such information should be extracted from the text and entered in the proper data fields (Example: Item = placard; location = entrance door; part condition = missing.  Text= the ""closed and locked"" decal is missing from the main passenger entrance door)."
1210,FUEL SERVICING,For reports indicating a problem relating to any type of aviation fuel.  The general instructions are not applicable to any particular system.
1220,OIL SERVICING,For reports indicating a problem relating to aviation lubricating oil.  The general instructions are not applicable to any particular system.
1230,HYDRAULIC FLUID SERVICING,For reports which indicate a problem with any type of hydraulic fluid.  The general instructions are not applicable to any particular system.
1240,COOLANT SERVICING,For reports indicating a problem with any type of engine coolant used in aircraft.  The general instructions are not applicable to any particular system.
1400,MISCELLANEOUS HARDWARE,For miscellaneous parts that are not associated with an installed aircraft component or system.  Use this code when there is insufficient information to file in a more specific JASC 1400 series code.
1410,HOSES AND TUBES,For reports indicating a problem with any aircraft or engine hose or that are not associated a specific aircraft system.
1420,ELECTRICAL CONNECTORS,8 For reports indicating a problem with any aircraft or engine electrical connector that is not associated a specific aircraft system.
1430,FASTENERS,"For reports indicating a problem with any aircraft or engine fastener that is not associated a specific aircraft system.  Typical parts are generic AN bolts, nuts, rivets, etc."
1497,MISCELLANEOUS WIRING,For reports indicating a problem with any aircraft or engine wiring that is not associated a specific aircraft system.
1800,HELICOPTER VIB/NOISE ANALYSIS,"The units and components enabling operators to monitor and diagnose vibration and noise levels in order to identify imbalance, damage, or misalignment in helicopter components."
1810,HELICOPTER VIBRATION ANALYSIS,"For reports of equipment necessary to monitor, measure, diagnose, and locate sources of vibration in dynamic and structural components."
1820,HELICOPTER NOISE ANALYSIS,"For reports of equipment necessary to monitor, measure, diagnose and locate sources of noise in dynamic and structural components."
1897,HELICOPTER VIBRATION SYSTEM WIRING,"For reports indicating a problem with wiring used on equipment necessary to monitor, measure, diagnose and locate sources of noise in dynamic and structural components. AIRFRAME SYSTEMS"
2100,AIR CONDITIONING SYSTEM,"For miscellaneous parts that cannot be associated with specific air conditioning, pressurization, or distribution codes.  Examples are lines, hoses, etc., with no reference to the specific using system on the incoming report.  Also, for those units and components furnishing a means of pressurizing, heating, cooling, moisture controlling, filtering, and treating the air used to ventilate areas of the fuselage within the pressure vessel."
2110,CABIN COMPRESSOR SYSTEM,"The system and its controls supplying compressed air to the cabin.  For reported problems with the compressor unit and not the associated system.  Related entries should include the component manufacturer's make, model, and the specific defective part by name and part number.  Typical parts are controls and indicating systems related to the compressors, wiring, etc. 9"
2120,AIR DISTRIBUTION SYSTEM,"The system used to induct and distribute air.  Does not include valves that are a part of the temperature control, pressurization, or the distribution fan.  Typical parts are equipment rack cooling systems, ozone converters, scoops, ducting, inlets, check valves, wiring, etc."
2121,AIR DISTRIBUTION FAN,"For reports pertaining to the fan/blower including associated motor which distributes air within the confine for comfort or equipment cooling.  Typical parts are bearing, bushing, motor, etc."
2130,CABIN PRESSURE CONTROL SYSTEM,"For reports of miscellaneous system components or parts other than the controller, indicator, sensor, regulator, or outflow valves.  Typical parts are amplifier, switch, electrical connector, etc."
2131,CABIN PRESSURE CONTROLLER,For the reports pertaining to the controller units only and not for the system.  The defective part should be identified by the part name and part number whenever possible.
2132,CABIN PRESSURE INDICATOR,"For reports of the cabin pressurization system, pressure indicators, and associated system parts."
2133,PRESSURE REGUL/OUTFLOW VALVE,"For reports of outflow/dump valves and associated parts such as linkage, filter, diaphragm, etc."
